Common Name,Formal Name,Type
Afghanistan,Islamic State of Afghanistan,Independent State
Albania,Republic of Albania,Independent State
Algeria,People's Democratic Republic of Algeria,Independent State
Andorra,Principality of Andorra,Independent State
Angola,Republic of Angola,Independent State
Antigua and Barbuda,,Independent State
Argentina,Argentine Republic,Independent State
Armenia,Republic of Armenia,Independent State
Australia,Commonwealth of Australia,Independent State
Austria,Republic of Austria,Independent State
Azerbaijan,Republic of Azerbaijan,Independent State
"Bahamas, The",Commonwealth of The Bahamas,Independent State
Bahrain,Kingdom of Bahrain,Independent State
Bangladesh,People's Republic of Bangladesh,Independent State
Barbados,,Independent State
Belarus,Republic of Belarus,Independent State
Belgium,Kingdom of Belgium,Independent State
Belize,,Independent State
Benin,Republic of Benin,Independent State
Bhutan,Kingdom of Bhutan,Independent State
Bolivia,Republic of Bolivia,Independent State
Bosnia and Herzegovina,,Independent State
Botswana,Republic of Botswana,Independent State
Brazil,Federative Republic of Brazil,Independent State
Brunei,Negara Brunei Darussalam,Independent State
Bulgaria,Republic of Bulgaria,Independent State
Burkina Faso,,Independent State
Burundi,Republic of Burundi,Independent State
Cambodia,Kingdom of Cambodia,Independent State
Cameroon,Republic of Cameroon,Independent State
Canada,,Independent State
Cape Verde,Republic of Cape Verde,Independent State
Central African Republic,,Independent State
Chad,Republic of Chad,Independent State
Chile,Republic of Chile,Independent State
"China, People's Republic of",People's Republic of China,Independent State
Colombia,Republic of Colombia,Independent State
Comoros,Union of Comoros,Independent State
"Congo, Democratic Republic of the (Congo – Kinshasa)",Democratic Republic of the Congo,Independent State
"Congo, Republic of the (Congo – Brazzaville)",Republic of the Congo,Independent State
Costa Rica,Republic of Costa Rica,Independent State
Cote d'Ivoire (Ivory Coast),Republic of Cote d'Ivoire,Independent State
Croatia,Republic of Croatia,Independent State
Cuba,Republic of Cuba,Independent State
Cyprus,Republic of Cyprus,Independent State
Czech Republic,,Independent State
Denmark,Kingdom of Denmark,Independent State
Djibouti,Republic of Djibouti,Independent State
Dominica,Commonwealth of Dominica,Independent State
Dominican Republic,,Independent State
Ecuador,Republic of Ecuador,Independent State
Egypt,Arab Republic of Egypt,Independent State
El Salvador,Republic of El Salvador,Independent State
Equatorial Guinea,Republic of Equatorial Guinea,Independent State
Eritrea,State of Eritrea,Independent State
Estonia,Republic of Estonia,Independent State
Ethiopia,Federal Democratic Republic of Ethiopia,Independent State
Fiji,Republic of the Fiji Islands,Independent State
Finland,Republic of Finland,Independent State
France,French Republic,Independent State
Gabon,Gabonese Republic,Independent State
"Gambia, The",Republic of The Gambia,Independent State
Georgia,Republic of Georgia,Independent State
Germany,Federal Republic of Germany,Independent State
Ghana,Republic of Ghana,Independent State
Greece,Hellenic Republic,Independent State
Grenada,,Independent State
Guatemala,Republic of Guatemala,Independent State
Guinea,Republic of Guinea,Independent State
Guinea-Bissau,Republic of Guinea-Bissau,Independent State
Guyana,Co-operative Republic of Guyana,Independent State
Haiti,Republic of Haiti,Independent State
Honduras,Republic of Honduras,Independent State
Hungary,Republic of Hungary,Independent State
Iceland,Republic of Iceland,Independent State
India,Republic of India,Independent State
Indonesia,Republic of Indonesia,Independent State
Iran,Islamic Republic of Iran,Independent State
Iraq,Republic of Iraq,Independent State
Ireland,,Independent State
